,Drug use disorders,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
393,"Taylor County, Florida",12123,"1.05 (0.48, 1.91)","1.23 (0.61, 2.11)","1.77 (0.90, 3.08)","2.30 (1.22, 3.94)","4.14 (2.46, 6.36)","7.05 (4.49, 10.51)","8.14 (5.32, 11.84)","8.69 (5.66, 13.03)","725.57 (328.62, 1737.46)"
394,"Union County, Florida",12125,"0.94 (0.39, 1.87)","1.03 (0.43, 2.04)","1.09 (0.51, 2.02)","1.43 (0.65, 2.68)","3.28 (1.72, 5.74)","6.03 (3.38, 9.74)","7.97 (4.62, 12.61)","8.46 (4.83, 13.48)","804.89 (341.06, 2130.87)"
395,"Volusia County, Florida",12127,"1.17 (0.78, 1.67)","1.64 (1.18, 2.24)","2.21 (1.59, 2.91)","3.44 (2.57, 4.44)","6.15 (4.96, 7.53)","12.21 (10.61, 13.93)","18.29 (16.52, 20.26)","13.95 (12.25, 15.80)","1088.25 (729.01, 1705.90)"
396,"Wakulla County, Florida",12129,"0.94 (0.44, 1.68)","1.14 (0.57, 2.09)","1.64 (0.83, 2.85)","2.19 (1.21, 3.68)","3.93 (2.36, 6.10)","7.21 (4.82, 10.43)","8.65 (5.80, 12.15)","8.85 (5.88, 12.60)","841.21 (378.53, 1837.08)"
397,"Walton County, Florida",12131,"1.15 (0.62, 1.91)","1.46 (0.89, 2.31)","2.22 (1.38, 3.39)","3.16 (2.03, 4.48)","5.39 (3.78, 7.47)","10.15 (7.60, 13.21)","12.13 (9.20, 15.37)","11.71 (9.08, 14.89)","916.99 (481.15, 1831.31)"
398,"Washington County, Florida",12133,"1.01 (0.48, 1.84)","1.30 (0.70, 2.16)","1.81 (0.98, 2.92)","2.52 (1.43, 3.99)","4.80 (2.96, 7.30)","8.27 (5.47, 11.68)","11.89 (7.92, 16.41)","11.19 (7.58, 15.60)","1004.09 (485.78, 2216.29)"
399,Georgia,13,"1.07 (0.94, 1.23)","1.29 (1.16, 1.43)","1.65 (1.50, 1.82)","2.30 (2.11, 2.49)","4.08 (3.81, 4.37)","6.89 (6.52, 7.28)","9.06 (8.62, 9.50)","9.40 (8.74, 9.95)","779.65 (649.87, 905.35)"
400,"Appling County, Georgia",13001,"0.85 (0.45, 1.43)","1.12 (0.61, 1.82)","1.58 (0.87, 2.47)","2.28 (1.29, 3.56)","4.13 (2.60, 6.04)","7.72 (5.18, 10.87)","10.20 (6.68, 14.40)","10.99 (7.18, 15.46)","1190.15 (626.14, 2329.13)"
401,"Atkinson County, Georgia",13003,"0.87 (0.37, 1.70)","1.13 (0.56, 2.04)","1.71 (0.82, 3.01)","2.47 (1.29, 4.29)","4.47 (2.45, 7.37)","8.19 (5.11, 12.57)","11.04 (7.10, 16.36)","11.96 (7.60, 17.71)","1271.34 (548.96, 3241.51)"
402,"Bacon County, Georgia",13005,"1.02 (0.51, 1.78)","1.33 (0.70, 2.21)","2.01 (1.12, 3.33)","2.99 (1.70, 4.87)","5.34 (3.21, 8.09)","9.79 (6.35, 14.28)","13.64 (9.22, 19.36)","14.89 (9.77, 21.40)","1361.53 (693.10, 2679.93)"
403,"Baker County, Georgia",13007,"0.62 (0.24, 1.27)","0.69 (0.27, 1.47)","0.83 (0.32, 1.72)","1.07 (0.43, 2.28)","1.76 (0.75, 3.55)","3.07 (1.25, 5.89)","3.60 (1.54, 6.76)","3.36 (1.40, 6.61)","440.03 (139.40, 1176.01)"
404,"Baldwin County, Georgia",13009,"0.70 (0.36, 1.19)","0.86 (0.48, 1.36)","1.20 (0.70, 1.93)","1.78 (1.04, 2.83)","3.12 (1.94, 4.74)","5.63 (3.79, 8.06)","6.43 (4.31, 8.95)","7.52 (5.03, 10.76)","977.41 (478.97, 2049.78)"
405,"Banks County, Georgia",13011,"0.77 (0.40, 1.32)","1.09 (0.59, 1.88)","1.73 (0.97, 2.80)","2.78 (1.71, 4.20)","5.30 (3.49, 7.54)","9.13 (6.24, 12.13)","12.70 (8.85, 16.49)","13.79 (10.11, 17.99)","1690.37 (845.36, 3508.39)"
406,"Barrow County, Georgia",13013,"0.91 (0.49, 1.50)","1.20 (0.69, 1.89)","1.81 (1.13, 2.76)","2.66 (1.64, 3.92)","5.35 (3.66, 7.61)","8.71 (6.42, 11.43)","12.65 (9.80, 16.04)","13.10 (10.12, 16.37)","1344.47 (740.64, 2602.96)"
407,"Bartow County, Georgia",13015,"1.06 (0.61, 1.64)","1.42 (0.88, 2.16)","2.12 (1.33, 3.13)","3.30 (2.19, 4.67)","5.85 (4.23, 7.96)","9.42 (7.34, 12.07)","14.95 (12.09, 18.12)","13.52 (10.92, 16.56)","1176.01 (672.17, 2159.52)"
408,"Ben Hill County, Georgia",13017,"0.75 (0.36, 1.35)","0.91 (0.45, 1.64)","1.19 (0.58, 2.16)","1.60 (0.79, 2.74)","2.95 (1.68, 4.88)","5.46 (3.08, 8.63)","7.01 (4.06, 10.90)","7.19 (4.13, 11.38)","854.83 (366.16, 1975.85)"
409,"Berrien County, Georgia",13019,"0.69 (0.33, 1.28)","0.82 (0.42, 1.45)","1.11 (0.59, 2.01)","1.53 (0.85, 2.58)","2.76 (1.60, 4.35)","4.69 (2.82, 7.00)","5.78 (3.58, 8.50)","5.69 (3.55, 8.59)","724.03 (300.17, 1753.12)"
410,"Bibb County, Georgia",13021,"1.21 (0.70, 1.89)","1.45 (0.88, 2.18)","1.95 (1.18, 2.90)","2.96 (1.98, 4.23)","4.69 (3.27, 6.37)","10.44 (7.83, 13.42)","10.49 (8.05, 13.26)","9.60 (7.35, 12.31)","692.23 (374.27, 1374.71)"
411,"Bleckley County, Georgia",13023,"1.19 (0.57, 2.16)","1.50 (0.78, 2.72)","2.09 (1.13, 3.73)","2.93 (1.64, 4.69)","4.79 (2.95, 7.44)","8.66 (5.68, 12.51)","9.72 (6.48, 13.66)","9.80 (6.27, 13.87)","720.79 (315.02, 1692.14)"
412,"Brantley County, Georgia",13025,"0.89 (0.47, 1.55)","1.28 (0.77, 2.00)","2.09 (1.21, 3.35)","3.32 (2.04, 5.04)","6.04 (3.88, 8.84)","11.82 (8.24, 16.43)","15.35 (10.82, 20.84)","16.60 (11.70, 22.00)","1760.70 (915.65, 3508.83)"
413,"Brooks County, Georgia",13027,"0.77 (0.36, 1.42)","0.86 (0.42, 1.53)","1.17 (0.58, 2.06)","1.51 (0.81, 2.65)","2.65 (1.44, 4.36)","4.75 (2.76, 7.52)","5.73 (3.32, 8.84)","5.89 (3.42, 9.25)","665.42 (270.15, 1564.15)"
414,"Bryan County, Georgia",13029,"0.66 (0.30, 1.20)","0.77 (0.39, 1.34)","1.06 (0.54, 1.75)","1.44 (0.81, 2.33)","2.53 (1.58, 3.82)","4.76 (3.11, 6.92)","6.07 (4.06, 8.43)","6.59 (4.42, 9.30)","896.64 (406.76, 2155.55)"
415,"Bulloch County, Georgia",13031,"0.67 (0.34, 1.19)","0.81 (0.43, 1.34)","1.08 (0.64, 1.71)","1.52 (0.90, 2.29)","2.70 (1.71, 3.95)","5.05 (3.48, 6.73)","6.83 (4.94, 9.21)","6.31 (4.53, 8.33)","839.32 (392.02, 1847.64)"
416,"Burke County, Georgia",13033,"0.78 (0.37, 1.40)","1.02 (0.54, 1.74)","1.49 (0.78, 2.49)","2.13 (1.22, 3.47)","3.90 (2.30, 6.20)","6.68 (4.47, 9.50)","8.92 (5.92, 12.51)","8.66 (5.73, 12.14)","1007.19 (467.49, 2218.83)"
417,"Butts County, Georgia",13035,"0.89 (0.43, 1.59)","1.24 (0.68, 2.09)","1.93 (1.07, 3.23)","3.16 (1.83, 4.95)","5.44 (3.28, 7.98)","10.25 (7.08, 14.02)","14.25 (10.17, 19.01)","14.97 (10.77, 19.67)","1588.52 (791.04, 3528.99)"
418,"Calhoun County, Georgia",13037,"0.79 (0.33, 1.63)","0.89 (0.39, 1.68)","1.11 (0.50, 2.18)","1.45 (0.65, 2.71)","2.51 (1.20, 4.67)","4.36 (2.09, 7.76)","5.59 (2.69, 9.93)","5.49 (2.62, 10.39)","591.44 (175.43, 1711.38)"
419,"Camden County, Georgia",13039,"0.48 (0.24, 0.87)","0.64 (0.36, 1.11)","1.00 (0.57, 1.60)","1.46 (0.89, 2.28)","2.76 (1.73, 4.04)","5.40 (3.80, 7.34)","7.16 (5.20, 9.50)","7.65 (5.43, 10.48)","1492.08 (712.51, 3329.10)"
420,"Candler County, Georgia",13043,"0.97 (0.43, 1.78)","1.26 (0.61, 2.19)","1.83 (0.95, 3.15)","2.84 (1.51, 4.69)","5.21 (3.16, 8.04)","9.70 (6.25, 14.14)","12.63 (8.08, 18.46)","14.32 (9.21, 20.72)","1376.94 (634.95, 3245.92)"
421,"Carroll County, Georgia",13045,"1.20 (0.68, 1.87)","1.58 (0.99, 2.29)","2.69 (1.83, 3.79)","3.71 (2.54, 5.15)","6.12 (4.54, 8.05)","12.56 (9.96, 15.44)","16.35 (13.27, 19.76)","16.74 (13.92, 19.91)","1297.48 (776.11, 2369.41)"
422,"Catoosa County, Georgia",13047,"0.73 (0.41, 1.17)","1.02 (0.66, 1.52)","1.60 (1.06, 2.30)","2.56 (1.73, 3.58)","4.74 (3.41, 6.38)","9.66 (7.50, 12.14)","12.81 (10.22, 15.85)","15.02 (12.08, 18.45)","1947.72 (1116.44, 3674.82)"
423,"Charlton County, Georgia",13049,"0.56 (0.25, 1.10)","0.77 (0.37, 1.43)","1.21 (0.58, 2.14)","1.82 (0.99, 3.02)","3.48 (1.94, 5.46)","7.21 (4.54, 10.73)","9.62 (6.08, 13.99)","10.11 (6.26, 14.95)","1708.49 (805.73, 3737.85)"
424,"Chatham County, Georgia",13051,"0.83 (0.50, 1.31)","0.96 (0.59, 1.43)","1.59 (1.01, 2.42)","1.71 (1.12, 2.43)","3.37 (2.40, 4.58)","6.24 (4.65, 8.09)","9.22 (7.31, 11.39)","8.07 (6.29, 10.16)","873.80 (464.56, 1571.79)"
425,"Chattahoochee County, Georgia",13053,"0.60 (0.25, 1.20)","0.70 (0.32, 1.31)","0.90 (0.41, 1.71)","1.20 (0.61, 2.07)","2.04 (1.06, 3.34)","3.60 (2.07, 5.67)","4.17 (2.44, 6.51)","4.44 (2.59, 7.18)","642.81 (247.02, 1683.12)"
426,"Chattooga County, Georgia",13055,"1.02 (0.50, 1.76)","1.38 (0.76, 2.17)","2.07 (1.18, 3.28)","3.20 (2.02, 4.79)","5.83 (4.10, 8.10)","10.00 (7.44, 13.28)","15.21 (11.47, 19.42)","16.07 (12.10, 20.87)","1478.65 (807.00, 3223.15)"
427,"Cherokee County, Georgia",13057,"0.74 (0.45, 1.14)","0.91 (0.59, 1.34)","1.23 (0.84, 1.79)","1.83 (1.25, 2.53)","3.44 (2.58, 4.50)","6.44 (5.11, 7.90)","9.40 (7.76, 11.22)","9.79 (8.25, 11.45)","1228.04 (750.50, 2137.02)"
428,"Clarke County, Georgia",13059,"0.71 (0.38, 1.22)","0.88 (0.51, 1.37)","1.19 (0.71, 1.88)","1.65 (1.02, 2.49)","3.26 (2.07, 4.76)","5.65 (3.96, 7.90)","6.70 (4.87, 8.81)","7.64 (5.48, 10.13)","969.22 (460.16, 1939.93)"
429,"Clay County, Georgia",13061,"0.90 (0.38, 1.84)","1.12 (0.50, 2.24)","1.51 (0.66, 2.89)","2.01 (0.89, 3.92)","3.53 (1.72, 6.44)","6.35 (2.98, 10.64)","8.33 (3.97, 14.39)","8.60 (3.97, 16.21)","857.16 (309.26, 2158.33)"
430,"Clayton County, Georgia",13063,"1.50 (0.91, 2.28)","1.49 (0.97, 2.15)","2.25 (1.43, 3.32)","2.38 (1.68, 3.24)","4.60 (3.26, 6.12)","6.35 (4.83, 7.97)","8.17 (6.52, 10.16)","6.99 (5.49, 8.66)","367.31 (186.52, 705.99)"
431,"Clinch County, Georgia",13065,"0.67 (0.31, 1.22)","0.91 (0.49, 1.58)","1.28 (0.65, 2.25)","1.84 (0.96, 3.16)","3.42 (1.86, 5.65)","6.23 (3.54, 10.17)","8.18 (4.94, 12.76)","8.67 (5.11, 14.02)","1198.89 (566.13, 2639.36)"
432,"Cobb County, Georgia",13067,"0.78 (0.51, 1.15)","1.04 (0.71, 1.48)","1.26 (0.88, 1.72)","1.85 (1.36, 2.48)","3.98 (3.17, 4.96)","5.50 (4.58, 6.47)","7.24 (6.13, 8.36)","9.68 (8.44, 10.86)","1140.79 (723.37, 1797.27)"
433,"Coffee County, Georgia",13069,"0.89 (0.50, 1.51)","1.17 (0.66, 1.85)","1.69 (0.99, 2.57)","2.56 (1.60, 3.84)","4.61 (3.20, 6.46)","8.42 (6.23, 11.26)","11.41 (8.46, 14.53)","11.97 (8.92, 15.45)","1245.18 (643.98, 2430.12)"
434,"Colquitt County, Georgia",13071,"0.98 (0.49, 1.73)","1.16 (0.65, 1.94)","1.66 (0.97, 2.72)","2.19 (1.34, 3.38)","3.90 (2.47, 5.68)","6.81 (4.62, 9.31)","8.54 (5.96, 11.42)","8.43 (6.01, 11.38)","763.35 (345.43, 1680.78)"
435,"Columbia County, Georgia",13073,"0.85 (0.49, 1.36)","0.95 (0.59, 1.46)","1.36 (0.85, 2.05)","1.75 (1.16, 2.57)","2.88 (2.01, 3.93)","5.62 (4.34, 7.23)","7.14 (5.54, 8.89)","6.67 (5.27, 8.36)","687.17 (362.65, 1324.30)"
436,"Cook County, Georgia",13075,"0.85 (0.38, 1.58)","1.02 (0.53, 1.78)","1.44 (0.72, 2.44)","1.96 (1.02, 3.35)","3.39 (1.98, 5.37)","6.49 (3.99, 9.89)","7.99 (4.96, 11.78)","8.30 (5.05, 12.31)","877.82 (364.51, 2063.84)"
437,"Coweta County, Georgia",13077,"0.81 (0.45, 1.32)","1.03 (0.60, 1.62)","1.45 (0.91, 2.23)","1.98 (1.31, 2.89)","3.62 (2.60, 4.85)","6.79 (5.20, 8.54)","7.68 (5.96, 9.73)","8.29 (6.56, 10.15)","919.48 (496.25, 1867.57)"
438,"Crawford County, Georgia",13079,"0.71 (0.34, 1.31)","0.97 (0.50, 1.64)","1.51 (0.78, 2.62)","2.23 (1.18, 3.73)","4.02 (2.32, 6.60)","6.67 (3.98, 10.04)","8.62 (5.42, 12.62)","8.35 (5.06, 12.69)","1074.72 (516.47, 2364.49)"
439,"Crisp County, Georgia",13081,"1.10 (0.53, 2.02)","1.31 (0.66, 2.25)","1.76 (0.93, 3.03)","2.29 (1.25, 3.93)","3.76 (2.14, 6.05)","6.61 (4.07, 9.88)","7.55 (4.69, 11.22)","7.35 (4.47, 10.97)","566.71 (239.56, 1370.32)"
440,"Dade County, Georgia",13083,"0.66 (0.34, 1.12)","0.88 (0.50, 1.39)","1.35 (0.79, 2.16)","2.10 (1.29, 3.21)","3.53 (2.33, 5.14)","6.72 (4.59, 9.32)","9.88 (6.79, 13.30)","10.57 (7.38, 14.62)","1511.47 (795.94, 3084.64)"
441,"Dawson County, Georgia",13085,"0.68 (0.35, 1.16)","0.96 (0.57, 1.52)","1.46 (0.85, 2.41)","2.17 (1.29, 3.25)","3.94 (2.66, 5.55)","7.74 (5.51, 10.52)","11.39 (8.33, 15.00)","11.96 (8.84, 15.47)","1667.71 (893.81, 3334.33)"
442,"DeKalb County, Georgia",13089,"1.09 (0.73, 1.60)","1.62 (1.11, 2.26)","1.97 (1.34, 2.70)","1.87 (1.32, 2.56)","2.95 (2.19, 3.82)","4.77 (3.79, 5.91)","5.78 (4.64, 7.10)","6.54 (5.30, 7.82)","501.40 (283.51, 867.99)"
443,"Decatur County, Georgia",13087,"0.75 (0.36, 1.31)","0.92 (0.47, 1.58)","1.19 (0.61, 2.05)","1.54 (0.82, 2.67)","2.50 (1.39, 4.02)","4.34 (2.62, 6.78)","5.70 (3.45, 8.67)","5.56 (3.34, 8.58)","639.93 (264.50, 1457.82)"
444,"Dodge County, Georgia",13091,"1.13 (0.57, 1.94)","1.38 (0.75, 2.29)","1.93 (1.06, 3.09)","2.74 (1.59, 4.22)","4.65 (2.95, 6.83)","8.35 (5.63, 11.64)","10.09 (6.95, 13.75)","10.15 (6.94, 14.11)","800.20 (361.30, 1774.85)"
445,"Dooly County, Georgia",13093,"0.76 (0.34, 1.44)","0.86 (0.41, 1.49)","1.04 (0.52, 1.84)","1.33 (0.63, 2.23)","2.10 (1.08, 3.57)","3.81 (2.20, 5.99)","4.45 (2.47, 6.94)","4.46 (2.58, 7.23)","483.93 (174.24, 1223.46)"
446,"Dougherty County, Georgia",13095,"1.08 (0.57, 1.77)","1.22 (0.69, 1.98)","1.58 (0.91, 2.44)","2.09 (1.24, 3.26)","3.44 (2.16, 5.04)","6.83 (4.80, 9.46)","7.06 (4.90, 9.59)","7.45 (4.96, 10.22)","592.46 (279.55, 1335.23)"
447,"Douglas County, Georgia",13097,"0.91 (0.52, 1.46)","1.12 (0.70, 1.74)","1.47 (0.95, 2.22)","2.02 (1.34, 2.90)","4.02 (2.85, 5.44)","6.16 (4.69, 8.00)","7.79 (5.92, 9.96)","10.04 (7.95, 12.40)","998.51 (532.94, 1942.56)"
448,"Early County, Georgia",13099,"0.78 (0.35, 1.44)","0.97 (0.42, 1.81)","1.29 (0.55, 2.40)","1.74 (0.83, 3.20)","3.02 (1.47, 5.38)","5.33 (2.67, 9.20)","6.77 (3.45, 11.18)","6.70 (3.48, 11.18)","759.31 (291.37, 1729.75)"
449,"Echols County, Georgia",13101,"0.57 (0.23, 1.17)","0.72 (0.29, 1.43)","1.02 (0.42, 2.04)","1.52 (0.66, 2.95)","2.77 (1.33, 5.07)","4.68 (2.34, 8.08)","5.99 (2.99, 10.06)","6.29 (3.14, 11.23)","1012.85 (459.43, 2308.04)"
450,"Effingham County, Georgia",13103,"0.69 (0.35, 1.28)","0.86 (0.45, 1.44)","1.21 (0.65, 2.02)","1.66 (1.02, 2.59)","2.89 (1.88, 4.23)","5.54 (3.97, 7.46)","7.17 (5.18, 9.56)","7.47 (5.42, 9.93)","981.10 (460.00, 2019.17)"
451,"Elbert County, Georgia",13105,"0.99 (0.52, 1.62)","1.41 (0.83, 2.20)","2.25 (1.30, 3.50)","3.55 (2.15, 5.42)","6.61 (4.26, 9.83)","11.91 (8.15, 16.54)","15.19 (10.77, 20.51)","17.11 (12.08, 23.17)","1631.03 (876.68, 3164.90)"
452,"Emanuel County, Georgia",13107,"0.89 (0.46, 1.51)","1.13 (0.64, 1.80)","1.67 (0.93, 2.67)","2.39 (1.42, 3.73)","4.10 (2.64, 5.99)","6.96 (4.82, 9.87)","9.21 (6.57, 12.76)","9.72 (6.69, 13.57)","988.85 (493.92, 2075.00)"
453,"Evans County, Georgia",13109,"0.73 (0.32, 1.40)","0.95 (0.43, 1.78)","1.31 (0.61, 2.33)","1.94 (0.89, 3.35)","3.68 (1.98, 6.11)","6.99 (4.12, 11.15)","8.70 (5.25, 13.61)","9.45 (5.53, 14.85)","1195.32 (556.62, 2805.77)"
454,"Fannin County, Georgia",13111,"0.97 (0.54, 1.56)","1.52 (0.89, 2.33)","2.53 (1.59, 3.73)","4.03 (2.65, 5.66)","7.37 (5.30, 9.60)","14.45 (11.09, 18.19)","22.48 (18.26, 27.20)","23.37 (18.88, 28.11)","2318.96 (1350.46, 4312.06)"
455,"Fayette County, Georgia",13113,"0.79 (0.45, 1.26)","0.92 (0.57, 1.37)","1.23 (0.78, 1.83)","1.62 (1.08, 2.34)","2.88 (2.09, 3.96)","4.57 (3.48, 5.92)","6.21 (4.90, 7.67)","7.36 (5.85, 9.13)","834.85 (448.58, 1571.27)"
456,"Floyd County, Georgia",13115,"0.95 (0.53, 1.49)","1.29 (0.80, 1.91)","1.88 (1.20, 2.79)","2.91 (1.98, 4.13)","6.22 (4.51, 8.35)","11.47 (8.90, 14.45)","14.42 (11.32, 17.28)","13.55 (10.84, 16.93)","1333.05 (767.00, 2587.90)"
457,"Forsyth County, Georgia",13117,"0.74 (0.39, 1.24)","0.89 (0.53, 1.41)","1.25 (0.78, 1.88)","1.61 (1.02, 2.32)","2.77 (1.96, 3.79)","4.90 (3.74, 6.28)","6.95 (5.57, 8.41)","8.08 (6.59, 9.70)","994.63 (526.75, 2021.06)"
458,"Franklin County, Georgia",13119,"0.85 (0.42, 1.47)","1.25 (0.70, 1.99)","2.10 (1.24, 3.27)","3.51 (2.21, 5.26)","6.44 (4.40, 8.94)","12.92 (9.36, 16.83)","19.79 (15.01, 25.69)","21.33 (16.31, 26.99)","2402.54 (1277.57, 5068.06)"
459,"Fulton County, Georgia",13121,"2.35 (1.71, 3.16)","2.39 (1.77, 3.12)","2.31 (1.65, 3.09)","3.99 (3.09, 5.09)","6.68 (5.46, 8.16)","9.86 (8.50, 11.48)","11.43 (9.87, 13.09)","11.01 (9.58, 12.48)","367.66 (235.53, 567.99)"
460,"Gilmer County, Georgia",13123,"0.91 (0.46, 1.56)","1.23 (0.69, 1.94)","1.97 (1.20, 2.99)","3.12 (1.97, 4.57)","5.65 (3.96, 7.89)","11.07 (8.24, 14.52)","13.63 (10.43, 17.33)","15.72 (12.17, 19.80)","1629.96 (870.68, 3428.82)"
461,"Glascock County, Georgia",13125,"0.90 (0.38, 1.79)","1.15 (0.51, 2.17)","1.65 (0.74, 3.26)","2.36 (1.05, 4.43)","3.96 (1.89, 7.17)","6.89 (3.53, 11.21)","8.54 (4.48, 14.03)","8.69 (4.49, 14.52)","870.66 (369.49, 2140.58)"
462,"Glynn County, Georgia",13127,"0.95 (0.48, 1.60)","1.28 (0.72, 1.97)","1.86 (1.13, 2.88)","2.99 (1.97, 4.25)","5.15 (3.65, 6.99)","10.69 (8.12, 13.67)","12.37 (9.67, 15.47)","13.98 (11.22, 16.91)","1365.80 (727.03, 2844.67)"
463,"Gordon County, Georgia",13129,"0.82 (0.46, 1.34)","1.17 (0.69, 1.77)","1.73 (1.09, 2.58)","2.71 (1.85, 3.82)","5.12 (3.64, 6.82)","9.63 (7.22, 12.42)","13.81 (10.75, 17.28)","13.69 (10.80, 16.92)","1564.94 (890.36, 2810.58)"
464,"Grady County, Georgia",13131,"0.83 (0.37, 1.57)","0.95 (0.46, 1.70)","1.22 (0.56, 2.29)","1.50 (0.78, 2.63)","2.57 (1.45, 4.16)","4.74 (2.77, 7.44)","5.91 (3.51, 9.10)","5.84 (3.33, 9.13)","605.73 (241.57, 1470.35)"
465,"Greene County, Georgia",13133,"0.68 (0.29, 1.34)","0.91 (0.43, 1.63)","1.33 (0.61, 2.37)","1.89 (0.94, 3.27)","3.29 (1.76, 5.31)","6.15 (3.66, 9.55)","7.87 (4.84, 11.28)","8.33 (4.93, 12.64)","1121.02 (483.83, 2906.61)"
466,"Gwinnett County, Georgia",13135,"0.62 (0.38, 0.92)","0.77 (0.50, 1.12)","0.86 (0.57, 1.22)","1.21 (0.84, 1.70)","2.10 (1.57, 2.75)","3.23 (2.60, 3.96)","4.74 (3.90, 5.60)","4.91 (4.13, 5.73)","696.74 (412.00, 1172.50)"
467,"Habersham County, Georgia",13137,"0.66 (0.35, 1.09)","0.90 (0.51, 1.47)","1.39 (0.78, 2.19)","2.14 (1.31, 3.18)","4.24 (2.82, 6.01)","7.70 (5.61, 10.24)","10.77 (8.19, 13.73)","10.61 (7.92, 13.90)","1517.38 (797.19, 3019.19)"
468,"Hall County, Georgia",13139,"0.66 (0.38, 1.02)","0.90 (0.54, 1.39)","1.33 (0.83, 2.04)","2.26 (1.44, 3.21)","4.05 (2.82, 5.45)","7.07 (5.31, 9.10)","10.40 (8.21, 12.51)","10.24 (8.36, 12.38)","1440.93 (827.48, 2644.02)"
469,"Hancock County, Georgia",13141,"0.47 (0.20, 0.89)","0.61 (0.28, 1.09)","0.83 (0.38, 1.46)","1.18 (0.58, 2.11)","2.43 (1.25, 4.01)","4.50 (2.59, 7.12)","6.06 (3.55, 9.33)","6.15 (3.47, 9.34)","1206.31 (504.37, 2983.56)"
470,"Haralson County, Georgia",13143,"1.20 (0.69, 1.97)","1.76 (1.07, 2.75)","2.86 (1.82, 4.20)","4.68 (3.16, 6.56)","9.01 (6.58, 11.93)","16.57 (12.81, 21.01)","25.11 (19.86, 30.74)","26.04 (20.77, 32.12)","2075.47 (1213.66, 3965.62)"
471,"Harris County, Georgia",13145,"0.67 (0.34, 1.21)","0.92 (0.47, 1.63)","1.45 (0.76, 2.43)","1.95 (1.13, 3.12)","3.30 (2.06, 5.06)","6.09 (4.21, 8.80)","7.01 (4.90, 9.49)","7.03 (4.87, 9.67)","952.96 (432.90, 2052.21)"
472,"Hart County, Georgia",13147,"0.95 (0.47, 1.69)","1.29 (0.70, 2.14)","1.90 (1.07, 3.03)","2.92 (1.78, 4.32)","5.62 (3.84, 7.80)","10.27 (7.59, 13.48)","13.48 (10.22, 17.27)","14.29 (10.70, 18.34)","1408.13 (729.36, 3034.29)"
473,"Heard County, Georgia",13149,"0.96 (0.41, 1.84)","1.32 (0.65, 2.32)","2.13 (1.08, 3.86)","3.29 (1.78, 5.46)","5.85 (3.41, 9.15)","10.52 (6.87, 15.36)","14.92 (9.70, 21.35)","15.72 (10.42, 22.05)","1540.44 (731.85, 3565.64)"
474,"Henry County, Georgia",13151,"1.12 (0.64, 1.76)","1.35 (0.85, 2.02)","1.76 (1.15, 2.59)","2.20 (1.47, 3.14)","3.79 (2.82, 5.04)","6.32 (4.97, 7.85)","8.95 (7.22, 10.87)","9.41 (7.69, 11.31)","741.62 (411.49, 1383.71)"
475,"Houston County, Georgia",13153,"0.66 (0.35, 1.16)","0.75 (0.42, 1.19)","1.01 (0.59, 1.62)","1.47 (0.86, 2.27)","2.33 (1.49, 3.42)","3.60 (2.53, 4.89)","5.06 (3.64, 6.69)","4.48 (3.24, 6.02)","579.16 (252.67, 1244.44)"
476,"Irwin County, Georgia",13155,"0.71 (0.30, 1.40)","0.88 (0.39, 1.75)","1.21 (0.52, 2.43)","1.65 (0.76, 3.20)","2.79 (1.30, 4.95)","5.13 (2.54, 8.77)","6.47 (3.35, 10.73)","6.42 (3.33, 10.87)","809.32 (332.52, 2120.53)"
477,"Jackson County, Georgia",13157,"1.05 (0.59, 1.73)","1.45 (0.80, 2.36)","2.60 (1.55, 3.86)","3.43 (2.26, 4.96)","6.00 (4.19, 8.20)","10.52 (7.85, 13.18)","14.63 (11.40, 18.30)","15.54 (12.49, 19.08)","1378.02 (764.48, 2599.53)"
478,"Jasper County, Georgia",13159,"0.65 (0.31, 1.20)","0.89 (0.44, 1.55)","1.30 (0.67, 2.23)","1.94 (1.07, 3.25)","3.67 (2.23, 5.61)","6.72 (4.34, 9.84)","8.94 (5.85, 12.57)","10.42 (6.93, 14.81)","1499.32 (708.25, 3530.29)"
479,"Jeff Davis County, Georgia",13161,"1.24 (0.62, 2.10)","1.72 (0.98, 2.85)","2.75 (1.53, 4.48)","4.18 (2.45, 6.32)","7.46 (5.04, 10.62)","13.71 (9.70, 18.51)","19.29 (14.21, 25.40)","19.42 (14.04, 25.39)","1472.33 (783.37, 2983.08)"
480,"Jefferson County, Georgia",13163,"0.78 (0.38, 1.38)","1.02 (0.54, 1.67)","1.40 (0.76, 2.37)","2.02 (1.09, 3.53)","3.77 (2.13, 6.06)","7.03 (4.16, 10.45)","9.44 (6.00, 14.09)","9.90 (6.17, 14.42)","1173.74 (584.06, 2593.21)"
481,"Jenkins County, Georgia",13165,"0.84 (0.35, 1.65)","1.05 (0.46, 1.97)","1.42 (0.63, 2.68)","1.95 (0.95, 3.58)","3.33 (1.66, 5.94)","6.13 (3.26, 10.01)","7.81 (4.37, 12.22)","7.72 (4.04, 12.63)","817.31 (355.39, 2093.32)"
